Incident,Time,Nature,Address
14F146012,22:31:43,59 CUTTING/STAB,2900 MCCORMICK AVE
14F146017,22:42:33,16V PICKUP VID,00 MAIN ST E
14F146018,22:45:12,39 STOLEN VEHIC,900 WASHINGTON BLVD E
14F146019,22:45:17,99 NARCOTICS,2700 WESTVIEW AVE
14F146020,22:49:22,46 DOMESTIC,6500 REED RD
14F146021,22:51:36,30 TRAFFIC STOP,2100 BROADWAY & DEWALD ST W
14F146022,22:52:24,25 PD ACCIDENT,31500 I 69 SB & DUPONT RD E
14F146023,22:54:39,911 HANG UP,900 COLISEUM PARK APTS ACCESS
14F146024,22:57:00,43 DISTURBANCE,2300 FOX AVE
14F146025,23:00:38,40I INTRUSION,100 WAYNE ST W
14F146026,23:05:26,"46,96",400 COLERICK ST
14F146028,23:07:34,48 SUSPICIOUS,2000 ST MARYS AVE
14F146027,23:08:16,103 UNWANTED,3200 FAIRFIELD AVE
14F146030,23:10:21,46 DOMESTIC,200 WASHINGTON CENTER RD E
14F146029,23:10:24,911 HANG UP,2900 PITTSBURG ST
14F146032,23:17:13,FIRE NEAR,7500 BLUFFTON RD
14F146031,23:24:08,30 TRAFFIC STOP,4000 LIVE OAK BLVD & TETON CT
14F146033,23:27:58,43 DISTURBANCE,11300 COLDWATER RD
14F146034,23:32:18,44LM,2000 ARDMORE AVE
14F146035,23:34:59,30 TRAFFIC STOP,1700 MAPLECREST RD
14F146036,23:37:15,30 TRAFFIC STOP,2700 DICKE RD & COVINGTON RD
14F146037,23:39:40,911 HANG UP,4500 PLAZA DR
14F146039,23:40:08,46 DOMESTIC,6800 COVINGTON CREEK TRL
14F146040,23:40:10,44LP,2000 CORTLAND AVE
14F146038,23:41:05,40A AUDIBLE,600 JEFFERSON BLVD E
14F146041,23:45:13,50IP BURG I/P,7700 VERONA DR
14F146042,23:45:47,30 TRAFFIC STOP,8800 COVINGTON RD & BLUEWATER TRL
14F146043,23:46:01,"102,TX THREATS",00 MAIN ST E
14F146044,23:48:33,"48,36",3900 OLD MILL RD
14F146045,23:52:19,"48,36",7200 NORTHRIVER RD
